character
一
丁
七
丈
三
上
下
不
丑
且
世
丘
丙
丞
並
中
串
丸
丹
主
乃
久
乎
乘
乙
九
乞
也
乳
乾
了
予
事
二
云
互
五
井
亙
亞
亡
交
亥
亦
亨
享
京
亭
亮
人
仁
今
介
仔
仕
他
付
仙
代
令
仰
仲
件
任
企
伊
伍
伏
伐
休
伯
伴
伶
伸
伺
伽
佃
但
位
低
住
佐
佑
何
余
佛
作
佳
併
使
侃
來
例
侍
供
依
侯
侵
侶
便
係
促
俄
俊
俐
俗
保
俠
信
俱
俳
俸
俺
倉
個
倍
倒
倖
候
借
倣
倫
倭
偏
停
側
偵
偶
偽
傍
傘
催
傭
傳
債
傷
傾
像
僕
僚
價
儀
億
儉
儒
償
優
允
元
兄
兆
先
光
克
兒
兜
入
全
八
公
六
共
兵
其
具
典
兼
冊
再
冒
冗
冠
冥
冬
冶
冷
准
凌
凍
凜
凝
凡
凰
凱
凶
凸
凹
出
函
刀
刃
分
切
刈
刊
刑
列
判
別
利
到
制
刷
券
刺
刻
則
削
前
剖
剛
剝
剩
副
割
創
劇
劉
劍
力
功
加
劣
助
努
劫
劾
勁
勃
勇
動
勘
勝
勢
勾
勿
包
化
北
匠
匡
匹
十
千
升
午
半
卒
卓
協
南
博
卜
占
卯
危
即
卵
卷
厄
厚
原
去
又
叉
友
反
叔
取
受
叢
口
古
句
只
叫
召
可
台
史
右
司
各
合
吉
同
名
后
吏
吐
向
君
吞
吟
否
含
吹
吻
吾
呂
呈
告
周
味
呼
命
和
咽
哀
品
哉
員
哨
哩
哲
哺
唆
唐
唯
唱
唾
商
問
善
喉
喋
喚
喜
喧
喪
喬
單
嗣
嘉
嘗
嘲
噴
嚇
囚
四
回
因
困
固
圃
圈
國
園
圓
團
土
在
圭
地
均
坊
坐
坑
坦
坪
垂
型
垣
埋
城
域
執
培
基
堂
堆
堤
堪
堯
堰
報
場
塊
塑
塗
塞
塾
境
墜
增
墳
墾
壁
壇
壕
壘
壞
士
壬
壯
壽
夏
夕
外
多
夜
大
天
太
夫
央
失
夷
奄
奇
奈
奉
奎
奏
契
奔
套
奧
奪
奮
女
奴
好
如
妃
妄
妊
妖
妙
妥
妨
妹
妻
始
姓
委
姥
姪
姻
姿
威
娃
娘
娠
婆
婚
婦
婿
媒
媛
嫁
嫉
嫌
嫡
嬉
子
