kanji
亞
哀
挨
愛
曖
惡
握
宛
安
案
暗
衣
位
依
委
威
為
畏
胃
尉
異
移
椅
彙
意
維
慰
域
一
引
因
咽
姻
員
院
淫
陰
飲
韻
右
宇
羽
雨
鬱
畝
浦
雲
永
泳
映
榮
詠
影
易
疫
益
液
越
圓
沿
炎
怨
宴
媛
援
園
煙
猿
鉛
演
緣
王
凹
央
應
往
押
旺
櫻
翁
奧
岡
屋
億
憶
臆
虞
乙
俺
音
恩
溫
下
化
火
加
可
何
佳
價
果
河
科
架
夏
家
貨
嫁
暇
靴
寡
歌
稼
課
蚊
我
賀
介
回
灰
快
戒
改
怪
拐
界
皆
械
開
階
塊
楷
解
潰
壞
懷
諧
貝
外
劾
害
崖
涯
街
該
垣
柿
各
角
革
格
核
郭
較
隔
閣
確
嚇
岳
樂
額
顎
掛
括
活
渴
割
轄
且
株
釜
刈
干
刊
甘
汗
缶
完
肝
官
冠
卷
看
陷
乾
勘
患
貫
寒
喚
堪
換
棺
款
間
閑
幹
感
慣
管
緩
憾
環
簡
丸
含
岸
岩
玩
眼
頑
願
企
危
氣
岐
希
忌
汽
奇
季
紀
軌
記
起
鬼
基
寄
規
喜
幾
揮
期
棋
貴
毀
旗
輝
機
騎
技
宜
偽
欺
義
疑
儀
戲
擬
議
吉
詰
客
虐
九
久
弓
丘
休
朽
臼
求
究
泣
急
糾
宮
救
球
給
窮
牛
去
居
虛
許
魚
漁
凶
共
叫
狂
京
享
供
協
況
峽
狹
恐
恭
胸
脅
強
教
境
橋
矯
鏡
競
仰
曉
業
凝
曲
局
極
玉
巾
斤
均
金
琴
筋
禁
錦
吟
銀
句
具
愚
空
偶
隅
串
屈
掘
窟
熊
君
訓
軍
郡
群
兄
刑
形
系
係
型
契
計
惠
揭
景
傾
詣
慶
憬
憩
鯨
劇
擊
激
欠
穴
血
決
結
潔
月
犬
件
見
券
肩
研
縣
儉
兼
劍
拳
軒
險
圈
檢
嫌
絹
憲
謙
顯
驗
懸
元
幻
玄
言
弦
限
原
現
舷
減
源
己
古
呼
固
股
虎
故
枯
個
庫
湖
雇
誇
鼓
顧
五
互
午
後
悟
語
誤
口
工
公
勾
孔
功
巧
甲
交
光
向
后
好
江
考
行
坑
孝
抗
攻
更
幸
拘
肯
侯
厚
恆
洪
皇
紅
郊
香
候
校
耕
航
貢
高
康
控
梗
喉
港
硬
絞
項
溝
構
綱
酵
稿
衡
鋼
講
購
乞
合
拷
剛
豪
克
告
谷
刻
國
黑
酷
獄
駒
頃
今
困
昆
恨
根
婚
混
痕
魂
墾
懇
左
佐
沙
砂
唆
詐
鎖
座
挫
才
再
災
妻
采
碎
宰
栽
彩
採
祭
細
最
裁
債
催
塞
載
際
在
材
財
罪
崎
作
削
昨
柵
索
策
搾
錯
冊
札
刷
察
撮
擦
雜
皿
三
山
傘
散
算
酸
斬
暫
士
子
支
止
氏
仕
史
司
四
市
矢
旨
死
糸
至
伺
志
私
使
刺
始
枝
肢
姿
思
指
施
師
恣
紙
脂
詞
嗣
試
詩
資
誌
摯
賜
諮
示
字
寺
次
耳
自
兒
事
侍
治
持
時
滋
慈
磁
璽
鹿
式
軸
七
失
室
疾
執
嫉
漆
質
實
車
射
捨
赦
斜
謝
蛇
尺
借
酌
爵
弱
寂
手
主
守
朱
取
狩
首
殊
珠
酒
腫
種
趣
壽
受
授
需
儒
樹
收
囚
州
舟
秀
周
宗
拾
秋
終
習
就
集
愁
酬
醜
襲
十
汁
住
柔
重
從
獸
縱
叔
宿
淑
縮
塾
熟
出
術
俊
春
旬
盾
准
殉
純
循
順
準
潤
所
書
女
如
助
序
徐
除
小
升
少
召
匠
床
抄
肖
尚
招
承
松
沼
昭
宵
將
消
症
笑
唱
商
涉
章
紹
訟
勝
掌
晶
燒
焦
硝
詔
証
象
傷
照
詳
彰
障
憧
衝
賞
償
礁
鐘
上
丈
冗
狀
乘
城
淨
剩
常
情
場
疊
錠
讓
釀
色
拭
食
植
殖
辱
心
申
伸
身
辛
侵
信
津
娠
振
浸
真
針
深
紳
森
診
寢
慎
新
審
震
親
人
刃
仁
盡
甚
陣
尋
須
水
吹
垂
炊
帥
粹
衰
推
醉
睡
穗
崇
杉
寸
瀨
是
井
世
正
生
成
西
制
姓
征
性
青
齊
政
星
牲
省
清
盛
婿
晴
勢
聖
誠
精
製
誓
靜
請
整
醒
夕
斥
石
赤
昔
析
脊
隻
惜
戚
責
跡
積
績
籍
切
折
拙
接
設
雪
攝
舌
千
川
仙
占
先
宣
專
泉
洗
染
扇
栓
旋
船
戰
煎
羨
腺
詮
箋
線
纖
鮮
全
前
善
然
漸
膳
繕
狙
阻
租
素
措
粗
組
訴
塑
礎
壯
早
爭
走
奏
相
倉
桑
巢
掃
曹
曾
爽
創
喪
裝
想
槽
操
燥
霜
像
增
即
束
足
促
則
息
捉
側
測
俗
族
賊
卒
率
存
村
孫
尊
損
他
多
汰
打
妥
唾
惰
太
耐
待
怠
胎
堆
袋
替
貸
隊
態
戴
大
代
台
第
題
宅
卓
拓
託
濯
濁
但
奪
棚
誰
丹
旦
單
炭
探
淡
短
端
綻
鍛
團
男
段
彈
暖
談
壇
地
池
知
恥
痴
稚
置
竹
畜
築
秩
窒
嫡
中
仲
虫
沖
宙
忠
抽
注
晝
柱
鑄
駐
貯
丁
弔
廳
兆
長
挑
帳
張
彫
眺
釣
頂
鳥
朝
貼
超
腸
跳
徵
嘲
潮
澄
調
聽
直
沈
珍
朕
陳
賃
鎮
椎
墜
痛
漬
坪
爪
鶴
低
呈
弟
定
底
抵
邸
亭
貞
帝
訂
停
偵
堤
提
程
締
諦
泥
的
笛
摘
滴
敵
溺
哲
天
典
店
展
添
轉
田
傳
殿
電
斗
吐
徒
塗
土
奴
努
怒
刀
冬
燈
投
豆
東
到
倒
凍
唐
島
桃
討
悼
盜
陶
棟
湯
痘
登
答
等
筒
稻
踏
糖
頭
謄
騰
同
洞
胴
動
堂
童
銅
瞳
特
得
督
德
篤
凸
屯
豚
頓
貪
鈍
那
奈
梨
南
軟
二
尼
肉
虹
日
入
乳
尿
任
妊
忍
認
寧
熱
年
念
捻
燃
納
能
農
濃
把
波
派
破
馬
婆
罵
拜
杯
盃
背
俳
配
排
敗
輩
賣
倍
培
陪
媒
買
賠
白
伯
拍
泊
剝
舶
博
縛
爆
箱
肌
八
髮
伐
拔
罰
閥
反
半
氾
犯
帆
伴
判
